ID,age,gender,age_range,state,region,employment_status,ethnicity,children,children_0-4,children_5-9,children_10-13,children_14-18,children_19-25,children_26-over,children_unknown,income,home_entertainment_equipment_flat_panel_tv,home_entertainment_equipment_dvr,home_entertainment_equipment_streaming_box,home_entertainment_equipment_streaming_fob,home_entertainment_equipment_tv_antenna,home_entertainment_equipment_bluray_dvd_player,home_entertainment_equipment_gaming_console,home_entertainment_equipment_portable_game_console,home_entertainment_equipment_router,home_entertainment_equipment_desktop,home_entertainment_equipment_laptop,home_entertainment_equipment_tablet,home_entertainment_equipment_e-reader,home_entertainment_equipment_smartphone,home_entertainment_equipment_mobile_phone,home_entertainment_equipment_smartwatch,home_entertainment_equipment_fitness_band,home_entertainment_equipment_vr_headset,home_entertainment_equipment_drone,home_entertainment_equipment_none,home_entertainment_equipment_unknown,plan_to_purchase_flat_panel_tv,plan_to_purchase_dvr,plan_to_purchase_streaming_box,plan_to_purchase_streaming_fob,plan_to_purchase_tv_antenna,plan_to_purchase_bluray_dvd_player,plan_to_purchase_gaming_console,plan_to_purchase_portable_game_console,plan_to_purchase_router,plan_to_purchase_desktop,plan_to_purchase_laptop,plan_to_purchase_tablet,plan_to_purchase_e-reader,plan_to_purchase_smartphone,plan_to_purchase_mobile_phone,plan_to_purchase_smartwatch,plan_to_purchase_fitness_band,plan_to_purchase_vr_headset,plan_to_purchase_drone,plan_to_purchase_none,plan_to_purchase_unknown,rank_product_flat_panel_tv,rank_product_dvr,rank_product_streaming_box,rank_product_streaming_fob,rank_product_tv_antenna,rank_product_bluray_dvd_player,rank_product_gaming_console,rank_product_portable_game_console,rank_product_router,rank_product_desktop,rank_product_laptop,rank_product_tablet,rank_product_e-reader,rank_product_smartphone,rank_product_mobile_phone,rank_product_smartwatch,rank_product_fitness_band,rank_product_vr_headset,rank_product_drone,rank_product_placeholder,pct_watch_movies_smartphone,pct_watch_movies_tablet,pct_watch_movies_computer,pct_watch_movies_television,pct_watch_sports_smartphone,pct_watch_sports_tablet,pct_watch_sports_computer,pct_watch_sports_television,pct_watch_tv_smartphone,pct_watch_tv_tablet,pct_watch_tv_computer,pct_watch_tv_television,app_type_photo,app_type_banking,app_type_fitness_band,app_type_food,app_type_retail,app_type_navigation,app_type_social,app_type_reading,app_type_music,app_type_video,app_type_review,app_type_news_consolidator,app_type_newspaper,app_type_magezine,app_type_utilities,app_type_qr_scanner,app_type_travel,app_type_transportation,app_type_location,app_type_language,app_type_movie,app_type_business,app_type_games,app_type_productivity,app_type_sports,app_type_weather,app_type_browser,app_type_voip,app_type_dating,app_type_messaging,app_type_payment,app_type_education,app_type_tickets,app_type_reservations,app_type_special_interest,app_type_none,app_type_unknown,subscriber_cable,subscriber_internet,subscriber_landline,subscriber_voice,subscriber_data,subscriber_streaming_video,subscriber_streaming_music,subscriber_gaming,subscriber_newspaper,subscriber_magezine,subscriber_none,subscriber_unknown,rank_services_cable,rank_services_internet,rank_services_landline,rank_services_voice,rank_services_data,rank_services_streaming_video,rank_services_streaming_music,rank_services_gaming,rank_services_newspaper,rank_services_magezine,amt_willing_to_double_internet_speed,rank_entertainment_live_performance,rank_entertainment_movies,rank_entertainment_tv,rank_entertainment_music,rank_entertainment_books,rank_entertainment_magezines,rank_entertainment_news,rank_entertainment_radio,rank_entertainment_video_games,rank_entertainment_internet,watch_movies_rent_physical,watch_movies_purchase_physical,watch_movies_purchase_digital,watch_movies_rent_digitial,watch_movies_stream_digitial,watch_movies_pay_per_view,watch_tv_rent_physical,watch_tv_purchase_physical,watch_tv_purchase_digital,watch_tv_stream_digitial,watch_tv_pay_per_view,binge_watch,password_sharing_freq,password_sharing_content,activity_while_watching_tv_work,activity_while_watching_tv_reading,activity_while_watching_tv_web,activity_while_watching_tv_twitter,activity_while_watching_tv_read_email,activity_while_watching_tv_write_email,activity_while_watching_tv_text,activity_while_watching_tv_social_network,activity_while_watching_tv_phone,activity_while_watching_tv_browse_products,activity_while_watching_tv_purchase_products,activity_while_watching_tv_video_games,willing_to_pay_no_ads_news,willing_to_pay_no_ads_sports,willing_to_pay_no_ads_games,willing_to_pay_no_ads_music,willing_to_pay_no_ads_tv,willing_to_pay_no_ads_movies,target_ads,worried_identity_theft,ads_cheaper_subscription,news_source,final_weights
1040,41,Male,34-50,California,West,Employed full-time or part-time,Hispanic,0,0,0,0,0,0,0,0,"$30,000 to $49,999",1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,0,0,0,100,0,0,0,0,0,0,0,100,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,I am willing to pay $5 per month on top of what I already pay,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,Rarely (one to three times a year),Rarely (one to three times a year),Occasionally (monthly),Rarely (one to three times a year),Rarely (one to three times a year),Rarely (one to three times a year),Rarely (one to three times a year),Occasionally (monthly),Rarely (one to three times a year),Rarely (one to three times a year),Frequently (every day/weekly),1,Occasionally (monthly),Movies,Almost always (greater than 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Almost always (greater than 75% of the time),Frequently (between 50% and 75% of the time),Almost always (greater than 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree somewhat,Disagree somewhat,Magazine,5.930674439671084
1047,60,Male,51-69,California,West,Employed full-time or part-time,Hispanic,0,0,0,0,0,0,0,0,"$100,000 to $299,999",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,0,0,25,75,0,0,25,75,0,0,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,N/A,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,Rarely (one to three times a year),Occasionally (monthly),Rarely (one to three times a year),Occasionally (monthly),Rarely (one to three times a year),Occasionally (monthly),Rarely (one to three times a year),Rarely (one to three times a year),Occasionally (monthly),Rarely (one to three times a year),Rarely (one to three times a year),0,Occasionally (monthly),Movies,Rarely (10%-50% of the time),Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Almost always (greater than 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Print newspapers,1.106728860415309
1041,37,Female,34-50,Louisiana,South,Employed full-time or part-time,Hispanic,1,0,0,1,0,0,0,0,"$50,000 to $99,999",0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,30,70,0,0,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,I am willing to pay $10 per month on top of what I already pay,1041,1041,1041,1041,1041,1041,1041,1041,1041,1041,Rarely (one to three times a year),Occasionally (monthly),Occasionally (monthly),Never,Occasionally (monthly),Never,Never,Occasionally (monthly),Occasionally (monthly),Rarely (one to three times a year),Rarely (one to three times a year),0,Occasionally (monthly),Movies,Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Almost always (greater than 75% of the time),Almost never,Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Frequently (between 50% and 75% of the time),Almost always (greater than 75% of the time),Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Rarely (10%-50% of the time),Disagree somewhat,Disagree strongly,N/A; I do not have a basis to answer,Disagree somewhat,N/A; I do not have a basis to answer,Disagree strongly,Disagree strongly,N/A; I do not have a basis to answer,Disagree somewhat,Online version of newspapers,0.5377398118312084
1051,14,Male,14-19,Florida,South,Employed full-time or part-time,White or Caucasian (Non-Hispanic),0,0,0,0,0,0,0,0,"Less than $29,999",0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,5,70,25,0,15,70,15,0,0,80,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,N/A,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,Rarely (one to three times a year),Occasionally (monthly),Frequently (every day/weekly),Occasionally (monthly),Frequently (every day/weekly),Frequently (every day/weekly),Rarely (one to three times a year),Frequently (every day/weekly),Occasionally (monthly),Frequently (every day/weekly),Frequently (every day/weekly),1,Frequently (every day/weekly),Movies,Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Always (close to 100% of the time),Almost always (greater than 75% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Always (close to 100% of the time),Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat,Social media sites,0.1125057974763771
1045,46,Female,34-50,California,West,Unemployed,African American,0,0,0,0,0,0,0,0,"$30,000 to $49,999",1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,5,0,20,75,0,0,5,95,5,0,5,90,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,I am willing to pay $5 per month on top of what I already pay,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,Occasionally (monthly),Occasionally (monthly),Never,Rarely (one to three times a year),Never,Never,Occasionally (monthly),Rarely (one to three times a year),Never,Never,Rarely (one to three times a year),0,Rarely (one to three times a year),N/A,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Rarely (10%-50% of the time),Rarely (10%-50% of the time),Rarely (10%-50% of the time),Rarely (10%-50% of the time),Almost never,Almost never,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree somewhat,Agree strongly,Agree somewhat,Television news stations,1.46329680521105
1038,16,Female,14-19,Colorado,West,Student,White or Caucasian (Non-Hispanic),1,0,0,0,1,0,0,0,"Less than $29,999",0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,I prefer faster speed but I am unwilling to pay more than I already do,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,Occasionally (monthly),Occasionally (monthly),Rarely (one to three times a year),Rarely (one to three times a year),Rarely (one to three times a year),Frequently (every day/weekly),Occasionally (monthly),Occasionally (monthly),Rarely (one to three times a year),Occasionally (monthly),Rarely (one to three times a year),0,Never,N/A,Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Almost never,Always (close to 100% of the time),Almost never,Always (close to 100% of the time),Frequently (between 50% and 75% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Disagree strongly,Disagree somewhat,Agree somewhat,Agree strongly,Disagree somewhat,Agree strongly,Disagree somewhat,Agree somewhat,N/A; I do not have a basis to answer,Television news stations,0.719698624798493
1049,16,Female,14-19,Virginia,South,Student,White or Caucasian (Non-Hispanic),1,0,0,1,1,0,0,0,"$100,000 to $299,999",1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,0,0,0,100,0,0,0,100,0,0,0,100,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,I am willing to pay $10 per month on top of what I already pay,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,Occasionally (monthly),Occasionally (monthly),Occasionally (monthly),Occasionally (monthly),Occasionally (monthly),Occasionally (monthly),Rarely (one to three times a year),Rarely (one to three times a year),Occasionally (monthly),Occasionally (monthly),Occasionally (monthly),1,Occasionally (monthly),Movies,Almost always (greater than 75% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Almost always (greater than 75% of the time),Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Always (close to 100% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Always (close to 100% of the time),Agree strongly,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree strongly,Disagree strongly,Agree somewhat,Agree somewhat,Agree somewhat,Radio,0.710633525630285
1054,19,Male,14-19,New Jersey,Northeast,Student,Hispanic,0,0,0,0,0,0,0,0,"$30,000 to $49,999",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,N/A,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,Occasionally (monthly),Occasionally (monthly),Rarely (one to three times a year),Occasionally (monthly),Rarely (one to three times a year),Occasionally (monthly),Occasionally (monthly),Frequently (every day/weekly),Occasionally (monthly),Rarely (one to three times a year),Frequently (every day/weekly),1,Occasionally (monthly),Sporting events,Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Frequently (between 50% and 75% of the time),Almost always (greater than 75% of the time),Frequently (between 50% and 75% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Always (close to 100% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Social media sites,0.07715963400438457
1048,40,Female,34-50,Michigan,Midwest,Employed full-time or part-time,African American,1,0,1,0,1,1,0,0,"$30,000 to $49,999",1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,0,0,0,100,0,0,0,100,80,0,0,20,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,I prefer faster speed but I am unwilling to pay more than I already do,1048,1048,1048,1048,1048,1048,1048,1048,1048,1048,Never,Never,Never,Never,Rarely (one to three times a year),Never,Never,Never,Never,Frequently (every day/weekly),Never,1,Never,N/A,Rarely (10%-50% of the time),Almost never,Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Rarely (10%-50% of the time),Almost never,Always (close to 100% of the time),Almost always (greater than 75% of the time),Almost never,Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Almost never,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree somewhat,Agree somewhat,Social media sites,3.957414307947249
1044,50,Male,34-50,California,West,Employed full-time or part-time,African American,0,0,0,0,0,0,0,0,"$50,000 to $99,999",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,0,0,80,20,0,0,50,50,0,0,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,N/A,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044,Rarely (one to three times a year),Rarely (one to three times a year),Rarely (one to three times a year),Occasionally (monthly),Occasionally (monthly),Rarely (one to three times a year),Rarely (one to three times a year),Rarely (one to three times a year),Rarely (one to three times a year),Rarely (one to three times a year),Occasionally (monthly),0,Frequently (every day/weekly),Sporting events,Always (close to 100% of the time),Frequently (between 50% and 75% of the time),Always (close to 100% of the time),Frequently (between 50% and 75% of the time),Always (close to 100% of the time),Almost always (greater than 75% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Online version of newspapers,0.2389350900232397
1043,26,Female,20-26,Nevada,West,Employed full-time or part-time,Hispanic,0,0,0,0,0,0,0,0,"$50,000 to $99,999",0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1,0,99,0,0,0,0,0,1,0,99,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,I am willing to pay $5 per month on top of what I already pay,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,Never,Rarely (one to three times a year),Never,Never,Frequently (every day/weekly),Never,Never,Never,Never,Frequently (every day/weekly),Never,1,Never,N/A,Rarely (10%-50% of the time),Almost never,Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Rarely (10%-50% of the time),Almost never,Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Almost never,Rarely (10%-50% of the time),Rarely (10%-50% of the time),Almost never,N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,Agree somewhat,Agree strongly,Agree strongly,Agree somewhat,Disagree strongly,Agree strongly,Disagree strongly,Online version of newspapers,0.6197580188151566
1050,15,Female,14-19,Kentucky,South,Student,White or Caucasian (Non-Hispanic),1,0,0,0,1,0,0,0,"$100,000 to $299,999",1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,10,0,10,80,0,0,0,100,0,0,0,100,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,I am willing to pay $5 per month on top of what I already pay,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,Occasionally (monthly),Never,Rarely (one to three times a year),Rarely (one to three times a year),Occasionally (monthly),Never,Occasionally (monthly),Never,Rarely (one to three times a year),Occasionally (monthly),Rarely (one to three times a year),0,Never,N/A,Almost never,Almost never,Almost never,Almost never,Rarely (10%-50% of the time),Rarely (10%-50% of the time),Rarely (10%-50% of the time),Rarely (10%-50% of the time),Rarely (10%-50% of the time),Almost never,Almost never,Almost never,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree strongly,Agree somewhat,Television news stations,3.215961107602374
1053,33,Male,27-33,Illinois,Midwest,Employed full-time or part-time,White or Caucasian (Non-Hispanic),1,0,1,0,1,0,0,0,"$30,000 to $49,999",0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,N/A,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,Never,Occasionally (monthly),Rarely (one to three times a year),Rarely (one to three times a year),Rarely (one to three times a year),Never,Never,Occasionally (monthly),Occasionally (monthly),Occasionally (monthly),Occasionally (monthly),0,Occasionally (monthly),Sporting events,Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Always (close to 100% of the time),Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,I do not follow the news,0.1953355651930463
1039,16,Male,14-19,Utah,West,Student,Multiracial,0,0,0,0,0,0,0,0,"Less than $29,999",0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,40,60,0,0,20,80,0,0,20,80,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,I am willing to pay $10 per month on top of what I already pay,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,Rarely (one to three times a year),Rarely (one to three times a year),Frequently (every day/weekly),Frequently (every day/weekly),Frequently (every day/weekly),Occasionally (monthly),Rarely (one to three times a year),Rarely (one to three times a year),Frequently (every day/weekly),Frequently (every day/weekly),Frequently (every day/weekly),1,Occasionally (monthly),Movies,Almost always (greater than 75% of the time),Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Almost always (greater than 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Agree somewhat,Agree strongly,Agree strongly,Agree somewhat,Agree strongly,Agree strongly,Agree somewhat,Disagree somewhat,Disagree somewhat,Online version of newspapers,0.1688698657190418
1055,28,Female,27-33,Washington,West,Student,Hispanic,1,1,0,0,0,0,0,0,"Less than $29,999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,N/A,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,Frequently (every day/weekly),Frequently (every day/weekly),Rarely (one to three times a year),Rarely (one to three times a year),Occasionally (monthly),Frequently (every day/weekly),Frequently (every day/weekly),Frequently (every day/weekly),Rarely (one to three times a year),Rarely (one to three times a year),Rarely (one to three times a year),1,Rarely (one to three times a year),N/A,Rarely (10%-50% of the time),Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Almost never,Rarely (10%-50% of the time),Almost never,Almost always (greater than 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Almost never,Rarely (10%-50% of the time),Almost never,N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,Agree strongly,N/A; I do not have a basis to answer,I do not follow the news,0.2636422509695175
